Age_1final;Age_2final;Age_3final;Age_4final;Age_5final;Age_6final;Age_7final;Age_8final;Age_9final;Age_10final;Age_33final;Age_34final;Age_35final;Age_36final;Age_37final;Age_38final;Age_39final;Age_40final
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
0;1;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3
